week,start_date,end_date,student_id,cars_accuracy,sciences_accuracy,class_accuracy,completed_mandatory_lessons,percentage_mandatory_complete,completed_lessons,total_completed_passages_discrete_sets,time,time_formatted,num_attended_small_session,num_scheduled_small_session,num_attended_large_session,num_scheduled_large_session,time_spent_noq,time_spent,total_time_spent,,
1,11/25/24,12/1/24,1,,,,3,0.02,3,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
2,12/2/24,12/8/24,1,,,,0,0.02,1,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
3,12/9/24,12/15/24,1,,,,0,0.02,1,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
4,12/16/24,12/22/24,1,,,,1,0.02,0,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
5,12/23/24,12/29/24,1,,,,3,0.05,4,0,0,00:00:00,,,,,1:16:47,1:16:47,1:16:47,, 
6,12/30/24,1/5/25,1,,,,1,0.05,0,0,0,00:00:00,,,,,0:00:00,0:00:00,1:16:47,,
7,1/6/25,1/12/25,1,,,,0,0.04,1,0,0,00:00:00,,,,,0:00:00,0:00:00,1:16:47,,
8,1/13/25,1/19/25,1,,,,11,0.13,11,0,0,00:00:00,,,,,0:59:26,0:59:26,2:16:13,,
1,11/25/24,12/1/24,2,,,,0,0,1,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
2,12/2/24,12/8/24,2,,,,0,0,1,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
3,12/9/24,12/15/24,2,,,,0,0,1,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
4,12/16/24,12/22/24,2,,,,1,0,0,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
5,12/23/24,12/29/24,2,,,,0,0,1,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
6,12/30/24,1/5/25,2,,,,1,0,0,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
7,1/6/25,1/12/25,2,,,,0,0,1,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
8,1/13/25,1/19/25,2,,0.37,,20,0.15,24,14,7,07:00:00,1,4,1,3,2:03:25,9:03:25,9:03:25,,
1,11/25/24,12/1/24,3,,,,0,0.01,1,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
2,12/2/24,12/8/24,3,,,,0,0.01,1,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
3,12/9/24,12/15/24,3,,,,0,0.01,1,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
4,12/16/24,12/22/24,3,,,,1,0.01,0,0,0,00:00:00,,,,,0:00:17,0:00:17,0:00:17,,
5,12/23/24,12/29/24,3,,,,0,0.01,1,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:17,,
6,12/30/24,1/5/25,3,,,,1,0.01,0,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:17,,
7,1/6/25,1/12/25,3,,0.46,,0,0.01,1,1,0.5,00:30:00,,,,,4:45:45,5:15:45,5:16:02,,
8,1/13/25,1/19/25,3,,,,4,0.04,4,0,0,00:00:00,,,,,0:00:00,0:00:00,5:16:02,,
1,11/25/24,12/1/24,4,,,,0,0.02,1,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
2,12/2/24,12/8/24,4,,,,3,0.02,3,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
3,12/9/24,12/15/24,4,,,,3,0.02,1,3,1.5,01:30:00,,,,,0:00:00,1:30:00,1:30:00,,
4,12/16/24,12/22/24,4,,,,1,0.02,0,2,1,01:00:00,,,,,0:00:00,1:00:00,2:30:00,,
5,12/23/24,12/29/24,4,0.7,0.7,,0,0.02,1,2,1,01:00:00,,,,,0:00:00,1:00:00,3:30:00,,
6,12/30/24,1/5/25,4,,,,1,0.02,0,3,1.5,01:30:00,,,,,0:00:00,1:30:00,5:00:00,,
7,1/6/25,1/12/25,4,,0.47,,0,0.02,1,1,0.5,00:30:00,,,,,5:31:15,6:01:15,11:01:15,,
8,1/13/25,1/19/25,4,,,,9,0.1,10,1,0.5,00:30:00,,,,,0:00:00,0:30:00,11:31:15,,
1,11/25/24,12/1/24,5,1,0,,7,0.2,8,18,9,09:00:00,,,,,1:24:51,10:24:51,10:24:51,,
2,12/2/24,12/8/24,5,1,0.95,,12,0.2,12,18,9,09:00:00,,,,,1:02:30,10:02:30,20:27:21,,
3,12/9/24,12/15/24,5,0.68,0.79,,12,0.2,7,22,11,11:00:00,,,,,4:00:28,15:00:28,11:27:49,,
4,12/16/24,12/22/24,5,0.86,0.82,,1,0.2,0,6,3,03:00:00,,,,,1:30:00,4:30:00,15:57:49,,
5,12/23/24,12/29/24,5,0.88,0.77,,12,0.34,12,31,15.5,15:30:00,,,,,6:07:38,21:37:38,13:35:27,,
6,12/30/24,1/5/25,5,0.83,0.79,,5,0.35,5,22,11,11:00:00,,,,,9:06:45,20:06:45,9:42:12,,
7,1/6/25,1/12/25,5,0.84,0.73,,6,0.4,6,22,11,11:00:00,,,,,2:15:00,13:15:00,22:57:12,,
8,1/13/25,1/19/25,5,0.79,0.84,,7,0.44,12,22,11,11:00:00,,,,,2:15:00,13:15:00,12:12:12,,
1,11/25/24,12/1/24,6,,,,0,0.05,1,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
2,12/2/24,12/8/24,6,,0.4,,6,0.05,7,1,0.5,00:30:00,,,,,0:00:31,0:30:31,0:30:31,,
3,12/9/24,12/15/24,6,,0.34,,6,0.05,1,1,0.5,00:30:00,,,,,1:49:15,2:19:15,2:49:46,,
4,12/16/24,12/22/24,6,,,,1,0.05,0,0,0,00:00:00,,,,,0:00:00,0:00:00,2:49:46,,
5,12/23/24,12/29/24,6,,,,0,0.05,1,0,0,00:00:00,,,,,0:00:00,0:00:00,2:49:46,,
6,12/30/24,1/5/25,6,,,,1,0.05,0,1,0.5,00:30:00,,,,,0:00:00,0:30:00,3:19:46,,
7,1/6/25,1/12/25,6,,,,0,0.04,1,0,0,00:00:00,,,,,0:00:00,0:00:00,3:19:46,,
8,1/13/25,1/19/25,6,0.56,0.57,,6,0.09,6,28,14,14:00:00,,,,,6:57:57,20:57:57,0:17:43,,
1,11/25/24,12/1/24,7,,,,0,0,1,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
2,12/2/24,12/8/24,7,,,,0,0,1,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
3,12/9/24,12/15/24,7,,,,0,0,1,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
4,12/16/24,12/22/24,7,,,,1,0,0,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
5,12/23/24,12/29/24,7,,,,0,0,1,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
6,12/30/24,1/5/25,7,,,,1,0,0,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
7,1/6/25,1/12/25,7,,,,0,0,1,1,0.5,00:30:00,,,,,5:40:30,6:10:30,6:10:30,,
8,1/13/25,1/19/25,7,,,,5,0.04,6,0,0,00:00:00,,,,,1:36:48,1:36:48,7:47:18,,
1,11/25/24,12/1/24,8,,,,0,0,1,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
2,12/2/24,12/8/24,8,,,,0,0,1,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
3,12/9/24,12/15/24,8,,,,0,0,1,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
4,12/16/24,12/22/24,8,,,,1,0,0,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
5,12/23/24,12/29/24,8,,,,0,0,1,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
6,12/30/24,1/5/25,8,,0.37,,3,0.02,3,1,0.5,00:30:00,,,,,5:58:30,6:28:30,6:28:30,,
7,1/6/25,1/12/25,8,,,,0,0.02,1,0,0,00:00:00,,,,,0:00:00,0:00:00,6:28:30,,
8,1/13/25,1/19/25,8,,,,15,0.13,15,0,0,00:00:00,,,,,0:00:00,0:00:00,6:28:30,,
1,11/25/24,12/1/24,9,,,,0,0,1,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
2,12/2/24,12/8/24,9,,,,0,0,1,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
3,12/9/24,12/15/24,9,,,,0,0,1,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
4,12/16/24,12/22/24,9,,,,1,0,0,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
5,12/23/24,12/29/24,9,,,,0,0.06,1,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
6,12/30/24,1/5/25,9,,,,8,0.06,7,0,0,00:00:00,,,,,0:18:47,0:18:47,0:18:47,,
7,1/6/25,1/12/25,9,,,,0,0.05,1,0,0,00:00:00,,,,,0:00:00,0:00:00,0:18:47,,
8,1/13/25,1/19/25,9,,0.71,,13,0.15,21,2,1,01:00:00,,,,,6:26:26,7:26:26,7:45:13,,
1,11/25/24,12/1/24,10,,,,3,0.08,3,0,0,00:00:00,,,,,0:07:04,0:07:04,0:07:04,,
2,12/2/24,12/8/24,10,,,,7,0.08,8,0,0,00:00:00,,,,,0:48:35,0:48:35,0:55:39,,
3,12/9/24,12/15/24,10,,,,7,0.08,1,0,0,00:00:00,,,,,0:00:00,0:00:00,0:55:39,,
4,12/16/24,12/22/24,10,,,,1,0.08,0,0,0,00:00:00,,,,,0:00:00,0:00:00,0:55:39,,
5,12/23/24,12/29/24,10,,,,0,0.13,1,0,0,00:00:00,,,,,0:00:00,0:00:00,0:55:39,,
6,12/30/24,1/5/25,10,,0.78,,6,0.13,4,1,0.5,00:30:00,,,,,0:51:14,1:21:14,2:16:53,,
